Metric,Period Type,Period,Policy Type,Issue policy,Task type,Task,Location,location_value,result
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Guatemala,15
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Hungary,10
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,India,6
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Indonesia,1
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Ireland,118
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Israel,62
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Italy,97
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Japan,29
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Jordan,26
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Kosovo,3
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Macedonia,1
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Malaysia,3
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Maldives,1
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Malta,12
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Mexico,35
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Moldova,1
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Monaco,1
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Nepal,32
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Netherlands,30
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,New Zealand,15
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Norway,25
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Pakistan,23
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Paraguay,3
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Peru,4
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Philippines,2
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Poland,29
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Portugal,1
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Romania,19
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Serbia,2
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Singapore,44
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Slovenia,3
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,South Korea,13
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Spain,100
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Sweden,90
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Switzerland,19
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Thailand,1
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Turkey,5
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Ukraine,7
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,United Arab Emirates,6
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,United Kingdom,841
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,United States,2419
Total requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Uruguay,1
Total legal requests,half-year,Jul-Dec 2022,all,all,all,all,all,all,4806
Total emergency requests,half-year,Jul-Dec 2022,all,all,all,all,all,all,1068
Total preservation requests,half-year,Jul-Dec 2022,all,all,all,all,all,all,1381
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Albania,1
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Albania,1
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Albania,2
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Albania,0
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Albania,0
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Albania,0
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Albania,0
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Albania,0
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Albania,0
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Algeria,1
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Algeria,0
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Algeria,0
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Algeria,0
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Algeria,1
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Algeria,1
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Algeria,1
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Algeria,0
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Algeria,0
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Andorra,1
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Andorra,1
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Andorra,1
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Andorra,0
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Andorra,0
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Andorra,0
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Andorra,0
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Andorra,0
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Andorra,0
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Argentina,59
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Argentina,22
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Argentina,28
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Argentina,0.591
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Argentina,7
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Argentina,11
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Argentina,0.818
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Argentina,30
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Argentina,40
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Armenia,2
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Armenia,0
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Armenia,0
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Armenia,0
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Armenia,0
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Armenia,0
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Armenia,0
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Armenia,2
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Armenia,7
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Australia,113
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Australia,92
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Australia,106
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Australia,0.478
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Australia,5
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Australia,6
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Australia,0.167
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Australia,16
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Australia,27
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Austria,27
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Austria,22
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Austria,40
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Austria,0.455
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Austria,1
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Austria,1
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Austria,0
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Austria,4
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Austria,6
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Azerbaijan,1
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Azerbaijan,1
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Azerbaijan,2
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Azerbaijan,1
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Azerbaijan,0
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Azerbaijan,0
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Azerbaijan,0
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Azerbaijan,0
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Azerbaijan,0
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Bangladesh,11
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Bangladesh,7
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Bangladesh,15
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Bangladesh,0.143
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Bangladesh,4
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Bangladesh,13
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Bangladesh,0.077
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Bangladesh,0
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Bangladesh,0
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Belgium,81
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Belgium,72
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Belgium,117
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Belgium,0.5
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Belgium,9
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Belgium,12
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Belgium,0.333
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Belgium,0
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Belgium,0
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Bolivia,1
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Bolivia,0
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Bolivia,0
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Bolivia,0
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Bolivia,1
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Bolivia,2
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Bolivia,1
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Bolivia,0
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Bolivia,0
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Brazil,284
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Brazil,201
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Brazil,435
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Brazil,0.736
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Brazil,16
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Brazil,35
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Brazil,0.286
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Brazil,67
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Brazil,88
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Bulgaria,4
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Bulgaria,4
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Bulgaria,4
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Bulgaria,1
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Bulgaria,0
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Bulgaria,0
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Bulgaria,0
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Bulgaria,0
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Bulgaria,0
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Canada,242
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Canada,37
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Canada,45
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Canada,0.676
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Canada,144
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Canada,148
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Canada,0.861
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Canada,61
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Canada,66
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Chile,35
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Chile,12
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Chile,23
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Chile,0.25
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Chile,3
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Chile,3
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Chile,1
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Chile,20
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Chile,23
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Colombia,25
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Colombia,5
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Colombia,5
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Colombia,0.4
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Colombia,17
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Colombia,26
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Colombia,0.308
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Colombia,3
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Colombia,4
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Croatia,4
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Croatia,3
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Croatia,4
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Croatia,1
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Croatia,0
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Croatia,0
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Croatia,0
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Croatia,1
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Croatia,1
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Czech Republic,5
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Czech Republic,5
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Czech Republic,14
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Czech Republic,0.4
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Czech Republic,0
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Czech Republic,0
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Czech Republic,0
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Czech Republic,0
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Czech Republic,0
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Denmark,11
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Denmark,4
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Denmark,5
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Denmark,0.75
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Denmark,2
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Denmark,2
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Denmark,0.5
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Denmark,5
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Denmark,6
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Dominican Republic,1
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Dominican Republic,1
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Dominican Republic,3
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Dominican Republic,0
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Dominican Republic,0
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Dominican Republic,0
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Dominican Republic,0
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Dominican Republic,0
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Dominican Republic,0
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Ecuador,10
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Ecuador,2
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Ecuador,2
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Ecuador,0.5
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Ecuador,6
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Ecuador,6
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Ecuador,0.833
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Ecuador,2
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Ecuador,2
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Estonia,3
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Estonia,3
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Estonia,4
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Estonia,1
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Estonia,0
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Estonia,0
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Estonia,0
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Estonia,0
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Estonia,0
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Finland,16
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Finland,10
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Finland,17
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Finland,0.9
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Finland,4
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Finland,4
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Finland,0.75
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Finland,2
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Finland,4
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,France,412
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,France,376
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,France,478
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,France,0.426
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,France,34
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,France,40
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,France,0.375
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,France,2
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,France,2
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Germany,1144
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Germany,1065
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Germany,1399
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Germany,0.59
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Germany,62
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Germany,77
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Germany,0.636
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Germany,17
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Germany,28
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Greece,53
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Greece,34
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Greece,50
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Greece,0.529
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Greece,16
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Greece,18
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Greece,0.611
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Greece,3
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Greece,3
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Guatemala,30
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Guatemala,4
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Guatemala,5
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Guatemala,0.75
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Guatemala,11
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Guatemala,14
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Guatemala,0.5
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Guatemala,15
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Guatemala,20
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Honduras,2
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Honduras,0
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Honduras,0
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Honduras,0
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Honduras,0
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Honduras,0
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Honduras,0
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Honduras,2
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Honduras,2
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Hungary,2
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Hungary,1
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Hungary,1
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Hungary,0
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Hungary,1
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Hungary,3
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Hungary,0
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Hungary,0
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Hungary,0
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Iceland,5
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Iceland,1
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Iceland,1
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Iceland,0
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Iceland,1
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Iceland,1
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,Iceland,0
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Iceland,3
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,Iceland,3
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,India,6
Legal requests,half-year,Jul-Dec 2022,all,all,all,all,Market,India,6
Legal request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,India,6
Percentage of legal requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,India,0
Emergency requests,half-year,Jul-Dec 2022,all,all,all,all,Market,India,0
Emergency request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,India,0
Percentage of emergency requests where some data was disclosed,half-year,Jul-Dec 2022,all,all,all,all,Market,India,0
Preservation requests,half-year,Jul-Dec 2022,all,all,all,all,Market,India,0
Preservation request accounts specified,half-year,Jul-Dec 2022,all,all,all,all,Market,India,0
Total requests,half-year,Jul-Dec 2022,all,all,all,all,Market,Indonesia,9
